[2019/04/14 14:25:21][CONFIG][initLogger]  Logging initialized.
[2019/04/14 14:25:21][CONFIG][initService]  Starting service...
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Scheme: http://
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Port: 7178
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Logger output file: basicService.log
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database username: cs122b_db143
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database password provided?: true
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database hostname: localhost
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database port: 3307
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2019/04/14 14:25:21][CONFIG][currentConfigs]  Database name: cs122b_db143
[2019/04/14 14:25:21][CONFIG][connectToDatabase]  Connecting to database...
[2019/04/14 14:25:21][CONFIG][connectToDatabase]  Database URL: jdbc:mysql://localhost:3307/cs122b_db143?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/04/14 14:25:21][CONFIG][connectToDatabase]  Connected to database: com.mysql.cj.jdbc.ConnectionImpl@1f1c7bf6
[2019/04/14 14:25:21][CONFIG][initHTTPServer]  Initializing HTTP server...
[2019/04/14 14:25:22][CONFIG][initHTTPServer]  HTTP server started.
[2019/04/14 14:25:22][CONFIG][initService]  Service initialized.
[2019/04/14 14:25:30][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:25:30][INFO][validateString]  {"input":"","len":40}
[2019/04/14 14:25:30][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:25:30][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:25:30][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:25:30][INFO][validateString]  Sentence is empty.
[2019/04/14 14:25:30][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:25:39][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:25:39][INFO][validateString]  {"input":"oJvvgMFYSxLbtcmtNgnOgFfCFNdAnvtRRcHJqbGrPLXcTrEtyWkeyIUlvzNDguSa QOfGbrhk xJSaF","len":-1}
[2019/04/14 14:25:39][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:25:39][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:25:39][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:25:39][INFO][validateString]  Entered length is negative.
[2019/04/14 14:25:39][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:07][INFO][helloWorld]  Hello!
[2019/04/14 14:26:07][INFO][getNumRequest]  Received request for number of records.
[2019/04/14 14:26:07][INFO][getNumRequest]  Retrieving sentences...
[2019/04/14 14:26:07][INFO][getAllSentencesFromDB]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings
[2019/04/14 14:26:07][INFO][getAllSentencesFromDB]  Query Success. 
[2019/04/14 14:26:07][INFO][addToArray]  Retrieved sentence ID: 1; Sentence: Lorem ipsum dapibus purus a suscipit elit risus ac cras orci ad.; Length: 12
[2019/04/14 14:26:07][INFO][addToArray]  Retrieved sentence ID: 2; Sentence: Etiam vulputate lobortis ultricies gravida fusce.; Length: 6
[2019/04/14 14:26:07][INFO][addToArray]  Retrieved sentence ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:07][INFO][buildModelFromList]  Creating model...
[2019/04/14 14:26:07][INFO][buildModelFromList]  Sentence list is not empty...
[2019/04/14 14:26:07][INFO][buildModelFromList]  Adding sentence #1 to array.
[2019/04/14 14:26:07][INFO][buildModelFromList]  Adding sentence #2 to array.
[2019/04/14 14:26:07][INFO][buildModelFromList]  Adding sentence #3 to array.
[2019/04/14 14:26:07][INFO][buildModelFromList]  Finished building model. Sentences array contains: 
[2019/04/14 14:26:07][INFO][buildModelFromList]  	ID: 1; Sentence: Lorem ipsum dapibus purus a suscipit elit risus ac cras orci ad.; Length: 12
[2019/04/14 14:26:07][INFO][buildModelFromList]  	ID: 2; Sentence: Etiam vulputate lobortis ultricies gravida fusce.; Length: 6
[2019/04/14 14:26:07][INFO][buildModelFromList]  	ID: 3; Sentence: Taciti vulputate magna ornare macenas dui, donec morbi suspendisse turpis urna, turpis in tempor por.; Length: 15
[2019/04/14 14:26:07][INFO][getNumRequest]  Sentences retrieved.
[2019/04/14 14:26:07][INFO][isValid]  sentences == null? false
[2019/04/14 14:26:07][INFO][isValid]  sentences.length > 0? true
[2019/04/14 14:26:07][INFO][getNumRequest]  Creating new num response model.
[2019/04/14 14:26:07][INFO][getNumRequest]  ResponseModel data is valid.
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Received request for sentence with id#3
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Retrieving sentences...
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Finding sentence from given id...
[2019/04/14 14:26:07][INFO][getSentenceFromID]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM cs122b_db143.valid_strings WHERE id = 3;
