[2019/06/06 18:20:15][CONFIG][initLogger]  [32mLogging initialized.[0m
[2019/06/06 18:20:15][CONFIG][initService]  Starting service...
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Scheme: http://
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Port: 7180
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Path: /api/g
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Request Delay: 500
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Number of threads in pool: 5
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Logger output file: gateway.log
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database hostname: localhost
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database port: 3310
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database username: cs122b_db143
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database password provided? true
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database name: cs122b_db143
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2019/06/06 18:20:15][CONFIG][currentConfigs]  Database connection settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM] scheme: http://
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM] hostname: 0.0.0.0
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM] port: 7177
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM] path: /api/idm
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM][EP] Register User: /register
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM][EP] Login User: /login
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM][EP] Verify Session: /session
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [IDM][EP] Verify User Privilege: /privilege
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies] scheme: http://
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies] hostname: 0.0.0.0
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies] port: 7178
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies] path: /api/movies
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Search Movie: /search
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Get Movie: /get/
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Add Movie: /add
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Delete Movie: /delete
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Get All Genres: /genre
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Add Genre: /genre/add
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Get All Genres For Movie: /genre/
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Search Star: /star/search
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Get Star: /star/
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Add Star to Movie: /star/starsin
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Movies][EP] Update Movie Rating: /rating
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing] scheme: 
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing] hostname: 
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing] port: 
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing] path:
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Update Cart: /cart/update
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Delete Cart: /cart/delete
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Retrieve Cart: /cart/retrieve
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Clear Cart: /cart/clear
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Clear Cart: /cart/insert
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Insert Credit Card: /creditcard/insert
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Update Credit Card: /creditcard/update
[2019/06/06 18:20:15][CONFIG][currentConfigs]  [Billing][EP] Delete Credit Card: /creditcard/delete
